1.00E-04	9.08E-05
1.32E-04	9.38E-05
8.96E-05	1.03E-04
8.51E-05	9.47E-05
8.60E-05	1.18E-04
1.36E-04	1.82E-04
9.08E-05	1.39E-04
8.34E-05	1.35E-04
7.71E-05	9.08E-05
8.17E-05	9.01E-05
8.25E-05	8.99E-05
7.94E-05	9.07E-05
8.87E-05	1.27E-04
8.28E-05	8.07E-05
7.10E-05	1.04E-04
2.17E-04	8.15E-05
6.60E-05	7.42E-05
6.31E-05	1.12E-04
6.89E-05	1.01E-04
7.57E-05	1.37E-04
6.92E-05	8.40E-05
6.87E-05	7.40E-05
7.96E-05	8.67E-05
1.02E-04	6.79E-05
9.53E-05	7.42E-05
1.00E-04	1.20E-04
8.71E-05	6.94E-05
6.49E-05	7.10E-05
6.77E-05	7.77E-05
6.73E-05	1.26E-04
7.96E-05	9.51E-05
7.97E-05	1.16E-04
6.95E-05	1.34E-04
8.05E-05	1.18E-04
6.37E-05	5.54E-05
6.44E-05	5.37E-05
4.58E-05	5.33E-05
4.71E-05	9.30E-05
4.84E-05	8.04E-05
7.62E-05	5.39E-05
4.90E-05	6.28E-05
4.53E-05	6.28E-05
5.52E-05	7.24E-05
4.78E-05	6.35E-05
6.04E-05	5.11E-05
4.65E-05	7.90E-05
5.11E-05	8.36E-05
6.75E-05	8.46E-05
4.51E-05	5.03E-05
6.00E-05	6.99E-05
5.45E-05	4.97E-05
4.79E-05	4.98E-05
6.38E-05	5.54E-05
5.15E-05	5.45E-05
4.82E-05	5.19E-05
4.97E-05	7.74E-05
4.75E-05	9.06E-05
4.93E-05	7.01E-05
4.74E-05	5.30E-05
4.97E-05	7.36E-05
5.56E-05	5.12E-05
4.44E-05	7.63E-05
9.73E-05	5.71E-05
6.03E-05	4.29E-05
3.61E-05	4.08E-05
3.64E-05	4.49E-05
4.50E-05	5.98E-05
3.95E-05	4.09E-05
3.07E-05	4.43E-05
3.52E-05	4.20E-05
3.29E-05	3.79E-05
3.61E-05	4.34E-05
3.09E-05	4.00E-05
8.66E-05	4.32E-05
3.24E-05	4.25E-05
3.25E-05	4.08E-05
2.68E-05	3.77E-05
3.12E-05	4.18E-05
2.88E-05	4.13E-05
3.63E-05	3.72E-05
3.31E-05	3.82E-05
3.12E-05	4.40E-05
4.66E-05	6.30E-05
3.23E-05	4.23E-05
2.95E-05	3.47E-05
3.81E-05	3.75E-05
4.92E-05	4.92E-05
2.81E-05	3.68E-05
3.19E-05	3.76E-05
3.15E-05	4.34E-05
4.05E-05	3.81E-05
3.00E-05	4.23E-05
3.17E-05	3.72E-05
3.20E-05	4.31E-05
3.99E-05	6.18E-05
4.27E-05	4.63E-05
3.21E-05	4.02E-05
4.07E-05	3.59E-05
2.70E-05	3.71E-05
3.25E-05	3.56E-05
