0.0571348	1030.69	62
0.065668	1017.67	57
0.0160089	878.47	58
2.75E-04	827.36	40
1.68E-04	918.01	33
9.24E-04	836.535	39
0.0039066	922.345	51
0.0011384	1081.405	37
4.27E-04	760.295	33
0.0016402	928.395	43
0.0026973	810.495	44
0.0010853	824.435	41
0.0049352	936.905	49
0.0094135	894.655	64
0.0075358	798.96	56
0.002773	812.155	44
0.0052518	828.64	58
0.0107367	805.37	66
0.0017673	966.315	47
0.0060362	1023.505	66
0.0046388	756.86	56
7.98E-04	936.355	36
0.0074811	834.765	57
0.001513	804.49	45
0.0035623	742.935	66
0.0047706	1001.815	57
0.0139158	795.105	56
0.0012681	710.33	31
0.0019666	850.755	41
0.014687	943.48	59
0.004158	864.17	37
0.0040422	748.69	40
0.0055038	577.185	37
0.0054578	797.325	47
0.0010781	775.065	38
0.0050164	995.505	61
0.0012257	903.76	35
2.69E-04	773.28	31
0.0022987	963.485	52
0.004188	783.81	54
0.0017598	927.47	52
4.37E-04	846.765	38
7.09E-04	711.32	48
6.45E-04	649.16	31
0.0028519	815.24	48
0.0019843	908.855	58
0.0032681	884.92	48
6.37E-04	753.42	38
0.0034162	816.08	47
0.0013069	808.265	35
0.0054884	789.795	61
0.0032806	754.96	53
0.0055658	909.05	86
0.0045024	854.175	57
0.0050965	867.145	74
0.0046457	900.84	71
0.0032491	1006.82	50
4.80E-04	801.855	31
0.0072265	839.63	67
0.0173161	977.1	58
0.0038148	1044.995	68
0.0152819	668.94	78
0.0079115	865.71	49
0.0245216	857.565	55
0.0116111	920.57	67
0.0045749	927.09	48
0.0027606	783.45	44
0.0025587	849.715	50
0.0058625	823.9	53
0.0065369	867.57	63
0.0029101	697.695	55
0.0047931	874.18	67
0.0033369	788.38	45
0.0072912	808.13	68
0.0074812	908.12	79
0.0053381	817.96	47
0.0046526	961.195	58
0.0044458	809.225	65
0.0051165	881.63	63
0.0059374	776.93	68
0.0050461	916.7	54
0.0051199	807.47	62
0.0019313	790.665	49
0.0076909	816.55	73
0.0105283	770.585	89
0.0079458	805.58	56
0.0054351	752.43	77
0.0027826	783.015	53
0.0026805	842.865	60
0.004166	710.715	66
0.005642	775.135	56
0.0119625	779.585	53
0.0176551	811.6	69
0.0162329	788.3	67
0.0212003	781.515	64
0.0207764	820.685	65
0.0284624	542.15	61
0.016512	788.265	65
0.022103	857.815	73
0.0152601	822.205	77
