1	0.0076589	72	418.225	490.225	0
0.9	0.0088383	69	443.63	512.63	30
0.8	0.0090482	66.125	473.5	539.625	46
0.7	0.0122132	61	528.165	589.165	62
0.6	0.0102723	53.25	592.795	646.045	76
0.5	0.0107889	53.375	586.305	639.68	66
0.4	0.0092553	49	629.27	678.27	65
0.3	0.0101015	46.875	641.91	688.785	71
0.2	0.0099084	47.25	640.815	688.065	69
0.1	0.0071589	47.5	639.435	686.935	71
0	0.0076293	45.5	651.875	697.375	67
1	0.0070705	68.875	489.28	558.155	0
0.9	0.0069328	68.25	494.3	562.55	8
0.8	0.0084195	61.75	522.1	583.85	26
0.7	0.0169139	57.375	565.665	623.04	44
0.6	0.0119199	53.375	583.285	636.66	49
0.5	0.0122314	41.125	671.02	712.145	61
0.4	0.0123635	34.25	705.97	740.22	67
0.3	0.0160281	27	759.965	786.965	73
0.2	0.0097912	28.25	756.785	785.035	65
0.1	0.0083663	28.125	758.48	786.605	68
0	0.0078233	29.875	747.56	777.435	64
1	0.0064086	68.75	706.64	775.39	0
0.9	0.00639	68.25	708.54	776.79	4
0.8	0.0076082	67.125	722.18	789.305	16
0.7	0.0063941	66.375	728.3	794.675	20
0.6	0.0064699	61.875	754.185	816.06	30
0.5	0.0064495	54.5	804.345	858.845	43
0.4	0.0070929	41.75	876.09	917.84	55
0.3	0.0090223	34	925.64	959.64	58
0.2	0.0080305	32.75	939.64	972.39	57
0.1	0.0073594	34.625	924.025	958.65	53
0	0.007274	31.625	944.25	975.875	52
1	0.006453	75.125	591.745	666.87	0
0.9	0.0065531	74.75	591.29	666.04	2
0.8	0.0068152	73.25	598.295	671.545	10
0.7	0.0072449	67.5	618.285	685.785	23
0.6	0.0071422	59.375	660.215	719.59	42
0.5	0.0092612	53.125	696.4	749.525	54
0.4	0.0090164	45.125	764.735	809.86	70
0.3	0.0133765	38.375	794.865	833.24	73
0.2	0.0119899	33.25	816.03	849.28	72
0.1	0.011967	38.625	794.595	833.22	68
0	0.0113331	35.25	809.345	844.595	64
1	0.0133892	66.125	570.455	636.58	0
0.9	0.0127768	66	565.995	631.995	0
0.8	0.0119782	65.375	571.05	636.425	8
0.7	0.0145256	65.125	581.715	646.84	19
0.6	0.0137937	63.625	592.44	656.065	25
0.5	0.0139257	62.125	618.12	680.245	38
0.4	0.0114567	57.375	668.455	725.83	53
0.3	0.0073674	46	732.985	778.985	66
0.2	0.007166	35	784.715	819.715	66
0.1	0.0074623	31.5	800.88	832.38	66
0	0.0073909	31	802.35	833.35	67
1	0.0061164	96.25	590.1	686.35	0
0.9	0.0060869	93.75	595.725	689.475	0
0.8	0.0061434	95.5	591.415	686.915	2
0.7	0.0064405	95.75	595.775	691.525	8
0.6	0.0061168	95	608.98	703.98	15
0.5	0.0061681	91.375	645.005	736.38	34
0.4	0.0063359	82.25	704.81	787.06	52
0.3	0.0062745	75.125	753.37	828.495	62
0.2	0.0082286	44.625	936.15	980.775	85
0.1	0.0080532	38.375	969.155	1007.53	79
0	0.0072703	34.5	984.765	1019.265	74
1	0.0068493	74.125	632.32	706.445	0
0.9	0.00657	72.5	634.02	706.52	0
0.8	0.0065644	71.625	636.175	707.8	8
0.7	0.0069369	73	636.57	709.57	10
0.6	0.0079005	70.625	646.355	716.98	15
0.5	0.0092824	68	658.155	726.155	25
0.4	0.0079034	62.25	688.595	750.845	35
0.3	0.0083809	54.25	749.81	804.06	53
0.2	0.0085355	50.25	789.235	839.485	59
0.1	0.0085011	39.875	862.835	902.71	63
0	0.0080278	39.75	870.33	910.08	61
1	0.0072371	95.125	610.85	705.975	0
0.9	0.0088668	93.25	612.61	705.86	0
0.8	0.0083076	95.75	611.305	707.055	4
0.7	0.0081972	94.875	614.02	708.895	7
0.6	0.0107797	92.5	627.6	720.1	16
0.5	0.0080874	91	639.065	730.065	22
0.4	0.0072865	85.625	670.87	756.495	34
0.3	0.0075271	81.375	717.845	799.22	46
0.2	0.0081654	68.125	791.2	859.325	56
0.1	0.0079973	69.25	788.505	857.755	52
0	0.007078	66.625	802.095	868.72	50
1	0.0063486	70	502.395	572.395	0
0.9	0.0066228	70.625	496.485	567.11	0
0.8	0.0076972	70.25	498.795	569.045	0
0.7	0.0067391	69.125	501.285	570.41	8
0.6	0.0066691	70.875	503.705	574.58	13
0.5	0.0065071	69.375	511.075	580.45	21
0.4	0.0065123	65.75	536.98	602.73	33
0.3	0.0068006	62.125	560.675	622.8	41
0.2	0.006797	51.375	630.85	682.225	58
0.1	0.0067532	41	690.665	731.665	62
0	0.0069094	36.875	714.995	751.87	56
1	0.0064332	91.625	523.42	615.045	0
0.9	0.0062806	90.875	525.105	615.98	0
0.8	0.0062779	92.375	522.42	614.795	2
0.7	0.006187	90.5	528.425	618.925	8
0.6	0.0063693	92.125	525.08	617.205	9
0.5	0.0062999	90.25	535.27	625.52	18
0.4	0.0062054	87.375	545.805	633.18	22
0.3	0.0064737	83.75	571.7	655.45	34
0.2	0.0066661	72.125	629.015	701.14	47
0.1	0.0075314	50.125	719.08	769.205	51
0	0.0073645	47.25	726.475	773.725	51
1	0.0075172	67.375	607.75	675.125	0
0.9	0.0066796	68.5	607.06	675.56	0
0.8	0.0062996	66.625	612.285	678.91	4
0.7	0.006388	67.25	609.745	676.995	4
0.6	0.0063225	66.125	614.705	680.83	8
0.5	0.0065625	65.625	618.03	683.655	13
